서울시 전체,116984 ,132986 ,99721 ,120854 ,135148 ,106287 ,122330 ,140868 ,104182 
종로구,183435 ,217272 ,152261 ,175410 ,214855 ,142856 ,165901 ,198296 ,136242 
청운효자동,116275 ,137481 ,73863 ,140431 ,165848 ,95374 ,141792 ,162329 ,93692 
사직동,144271 ,177492 ,124438 ,123849 ,177228 ,105939 ,139286 ,196087 ,109826 
삼청동,217925 ,197561 ,279017 ,144577 ,171226 ,57970 ,164600 ,190705 ,101202 
부암동,84454 ,99955 ,67402 ,97942 ,107264 ,69977 ,91972 ,100727 ,83748 
평창동,80597 ,104008 ,62694 ,86219 ,86046 ,86429 ,85478 ,83877 ,87198 
무악동,,,,,,110482 ,,178853 ,
교남동,,175245 ,,185020 ,246999 ,114186 ,204374 ,208333 ,200830 
가회동,128907 ,134200 ,111263 ,149372 ,168159 ,108040 ,145273 ,162415 ,107237 
종로1.2.3.4가동,197742 ,271591 ,115139 ,195669 ,259583 ,130183 ,182121 ,237498 ,118528 
종로5.6가동,267288 ,256823 ,271035 ,244219 ,271717 ,233048 ,237920 ,235456 ,238996 
이화동,140800 ,171984 ,106906 ,141017 ,186631 ,82159 ,111163 ,145571 ,78302 
혜화동,144025 ,168065 ,99644 ,133861 ,156568 ,95007 ,120120 ,153779 ,81579 
창신1동,150015 ,213700 ,111804 ,153195 ,204978 ,116642 ,164536 ,198710 ,129709 
창신2동,65582 ,80859 ,42157 ,78774 ,91336 ,62389 ,81269 ,91197 ,69876 
창신3동,83491 ,97691 ,75603 ,,,94049 ,79201 ,88457 ,67961 
숭인1동,89192 ,133994 ,57831 ,89406 ,103351 ,75462 ,72795 ,94190 ,57950 
숭인2동,105563 ,128987 ,71806 ,83098 ,120490 ,57131 ,90457 ,119287 ,65491 
중구,214273 ,219231 ,211449 ,242109 ,245466 ,240567 ,230151 ,242787 ,223571 
소공동,127180 ,165063 ,108529 ,148413 ,237841 ,118886 ,141407 ,185538 ,124221 
회현동,312220 ,373569 ,273402 ,334934 ,380702 ,309730 ,328055 ,385567 ,291373 
명동,145377 ,191617 ,130844 ,164878 ,229724 ,141351 ,154989 ,234919 ,126280 
필동,90298 ,136662 ,69468 ,108463 ,160609 ,81017 ,117750 ,160806 ,90894 
장충동,76147 ,69092 ,82320 ,96931 ,109530 ,80455 ,102854 ,126051 ,80195 
광희동,162380 ,182133 ,149599 ,205134 ,219236 ,197649 ,192270 ,196507 ,189992 
을지로동,132485 ,187634 ,77336 ,126933 ,180007 ,84791 ,138041 ,185740 ,101748 
신당동,373967 ,288216 ,390557 ,383781 ,377840 ,384826 ,385017 ,338025 ,395550 
다산동,90328 ,123624 ,50021 ,100823 ,114196 ,90459 ,93904 ,114577 ,77321 
약수동,102442 ,149303 ,75664 ,124358 ,185654 ,65513 ,120300 ,186985 ,84311 
청구동,108251 ,113554 ,105024 ,74831 ,71725 ,75633 ,97823 ,105314 ,93645 
신당5동,108487 ,143454 ,78662 ,127688 ,116037 ,136485 ,95159 ,121291 ,72619 
동화동,85331 ,108339 ,66748 ,107937 ,126664 ,97637 ,88511 ,113770 ,74516 
황학동,137487 ,152311 ,96310 ,116414 ,130424 ,90455 ,140864 ,161232 ,111029 
중림동,118592 ,152902 ,73562 ,108977 ,135830 ,86420 ,126686 ,126278 ,127342 
용산구,113739 ,134626 ,93586 ,113361 ,133054 ,92311 ,120687 ,139914 ,98521 
후암동,93158 ,111138 ,51203 ,96904 ,114071 ,59860 ,85881 ,104994 ,60397 
용산2가동,88216 ,92842 ,63547 ,97672 ,110562 ,51969 ,100445 ,95232 ,116082 
남영동,86701 ,108323 ,58527 ,97202 ,116594 ,61400 ,99435 ,122851 ,67424 
청파동,85548 ,103724 ,60958 ,106408 ,143751 ,66867 ,106577 ,131455 ,66341 
원효로1동,81357 ,106763 ,54428 ,86236 ,101088 ,66929 ,93720 ,109998 ,72687 
원효로2동,79316 ,81935 ,77832 ,79910 ,91145 ,67143 ,101699 ,115312 ,89447 
효창동,86354 ,104362 ,63436 ,107029 ,138258 ,71339 ,154267 ,132602 ,175931 
용문동,,136015 ,,112134 ,119493 ,71663 ,111629 ,122521 ,89348 
한강로동,117510 ,148130 ,104575 ,109072 ,138682 ,96820 ,121312 ,141527 ,108175 
이촌1동,243200 ,300984 ,202410 ,167346 ,276639 ,96067 ,208054 ,276618 ,133775 
이촌2동,,,,,73394 ,,71952 ,70685 ,76386 
이태원1동,193764 ,230505 ,148321 ,176321 ,200018 ,144053 ,172655 ,198455 ,142163 
이태원2동,148413 ,191382 ,105444 ,126550 ,137777 ,112866 ,147116 ,174699 ,105052 
한남동,111230 ,122788 ,102510 ,123994 ,145118 ,104895 ,111590 ,134048 ,89594 
서빙고동,107058 ,131155 ,61875 ,77375 ,73081 ,85350 ,62689 ,66526 ,57509 
보광동,82423 ,95243 ,62483 ,91398 ,98935 ,76795 ,98081 ,120834 ,56369 
성동구,106527 ,122685 ,89189 ,98700 ,117770 ,80425 ,109351 ,127521 ,91543 
왕십리2동,80865 ,109410 ,52321 ,86250 ,109989 ,56384 ,106028 ,125886 ,85087 
왕십리도선동,122832 ,146234 ,97264 ,116712 ,132878 ,99835 ,106182 ,118471 ,92181 
마장동,112938 ,121371 ,98770 ,98021 ,117459 ,55906 ,109467 ,134532 ,66637 
사근동,141264 ,137744 ,147247 ,109998 ,139450 ,74235 ,143626 ,172290 ,101253 
행당1동,174981 ,173800 ,176377 ,148787 ,139883 ,157268 ,120895 ,132661 ,104062 
행당2동,117247 ,154958 ,88238 ,108733 ,167266 ,81905 ,105628 ,114068 ,100218 
응봉동,,127135 ,,80609 ,92137 ,71963 ,115799 ,143012 ,89946 
금호1가동,122505 ,163240 ,89917 ,89649 ,117966 ,66995 ,104240 ,107876 ,101109 
금호2.3가동,104632 ,120814 ,73348 ,118722 ,136080 ,80535 ,110092 ,133647 ,72315 
금호4가동,90457 ,102596 ,74271 ,97391 ,123297 ,73103 ,102816 ,116755 ,87017 
옥수동,120876 ,161951 ,81445 ,126698 ,157397 ,109477 ,139450 ,180605 ,113320 
성수1가1동,84046 ,96824 ,66669 ,90799 ,114907 ,67717 ,94636 ,106692 ,84729 
성수1가2동,101782 ,139305 ,64917 ,102709 ,124328 ,85812 ,112156 ,131013 ,92816 
성수2가1동,70577 ,83615 ,56503 ,67677 ,81475 ,49885 ,96440 ,113153 ,80470 
성수2가3동,106817 ,107947 ,106144 ,94165 ,113871 ,83302 ,113514 ,118568 ,110490 
송정동,75278 ,86274 ,49619 ,78516 ,92046 ,54356 ,82635 ,91740 ,73530 
용답동,90116 ,126667 ,48997 ,78561 ,107836 ,54164 ,86936 ,123897 ,58957 
광진구,95331 ,112690 ,71668 ,101953 ,121978 ,75504 ,98927 ,119912 ,70922 
화양동,126628 ,159344 ,82812 ,133492 ,165353 ,86557 ,132484 ,165538 ,89485 
군자동,83494 ,101852 ,50974 ,94472 ,110347 ,64657 ,92775 ,110668 ,54338 
중곡1동,70130 ,75879 ,61011 ,81286 ,91230 ,62535 ,76910 ,95808 ,48276 
중곡2동,83595 ,84340 ,82775 ,74778 ,87958 ,54619 ,71069 ,90598 ,49268 
중곡3동,68309 ,88184 ,38155 ,72506 ,99027 ,36943 ,80856 ,100610 ,50402 
중곡4동,86635 ,107573 ,54479 ,93952 ,114455 ,48389 ,87850 ,105624 ,54039 
능동,107567 ,141825 ,64293 ,104745 ,137075 ,64954 ,107164 ,141833 ,69565 
광장동,102001 ,134854 ,61847 ,107086 ,145578 ,73982 ,101151 ,129687 ,80842 
자양1동,103048 ,116670 ,73081 ,107439 ,117351 ,90194 ,105527 ,125033 ,64167 
자양2동,84198 ,86169 ,80038 ,89576 ,96289 ,79879 ,78796 ,82410 ,73298 
자양3동,102165 ,104263 ,99127 ,129728 ,135911 ,121963 ,109757 ,118272 ,98820 
자양4동,126003 ,151943 ,63441 ,114079 ,143823 ,69793 ,110010 ,143434 ,61292 
구의1동,92866 ,98417 ,86281 ,83707 ,107625 ,50020 ,93539 ,108829 ,66806 
구의2동,94026 ,110268 ,61541 ,128082 ,151408 ,67432 ,95860 ,112893 ,67614 
구의3동,93234 ,129571 ,77395 ,102426 ,117932 ,95075 ,102889 ,138434 ,85437 
동대문구,102399 ,120300 ,73118 ,88811 ,110071 ,58625 ,94387 ,115596 ,62440 
용신동,92724 ,105622 ,74852 ,81622 ,99452 ,62527 ,82558 ,104533 ,59327 
제기동,105497 ,120281 ,53480 ,109602 ,129842 ,61533 ,121282 ,140178 ,78708 
전농1동,118597 ,131730 ,82323 ,81840 ,94184 ,60581 ,88968 ,101923 ,65438 
전농2동,110172 ,110345 ,109920 ,89349 ,100547 ,66153 ,91657 ,116654 ,62578 
답십리1동,93018 ,122505 ,50016 ,106039 ,150329 ,54083 ,98362 ,122300 ,69332 
답십리2동,92552 ,92942 ,91975 ,73799 ,82414 ,58054 ,85974 ,110562 ,49426 
장안1동,83469 ,111149 ,56427 ,80264 ,98391 ,60743 ,80133 ,101934 ,52903 
장안2동,92355 ,101092 ,81988 ,73872 ,96224 ,49658 ,92264 ,118487 ,59879 
청량리동,119268 ,144200 ,56106 ,76818 ,88654 ,51901 ,85579 ,99101 ,56335 
회기동,158138 ,169733 ,125011 ,110841 ,134507 ,67206 ,105390 ,125918 ,59368 
휘경1동,135726 ,144556 ,118067 ,115636 ,148726 ,51663 ,117756 ,135018 ,92257 
휘경2동,95576 ,101796 ,73806 ,96240 ,118081 ,50130 ,91117 ,98466 ,73574 
이문1동,104538 ,121254 ,76893 ,110629 ,126852 ,71504 ,107380 ,132735 ,57561 
이문2동,120411 ,206204 ,48917 ,62270 ,92502 ,32037 ,74485 ,73602 ,76484 
중랑구,76167 ,90570 ,50656 ,77354 ,93783 ,49362 ,91905 ,108321 ,69774 
면목2동,67765 ,82122 ,39734 ,63525 ,75998 ,38579 ,81067 ,100994 ,49931 
면목4동,63460 ,76314 ,41258 ,52682 ,68950 ,27801 ,70050 ,73300 ,64308 
면목5동,56979 ,71496 ,34396 ,63354 ,70552 ,51357 ,68562 ,76996 ,59265 
면목본동,76592 ,88108 ,36286 ,83240 ,97154 ,51678 ,87422 ,108852 ,55059 
면목7동,84539 ,101222 ,37059 ,112695 ,139059 ,51855 ,99115 ,125239 ,49637 
면목3.8동,84481 ,90902 ,67145 ,74663 ,86897 ,50195 ,84962 ,101706 ,60962 
상봉1동,72101 ,78233 ,63516 ,91292 ,108716 ,54508 ,96657 ,109044 ,78235 
상봉2동,92811 ,110519 ,56461 ,85422 ,98433 ,65290 ,99556 ,124846 ,72470 
중화1동,59097 ,48656 ,75232 ,71153 ,85220 ,44424 ,76393 ,82921 ,68776 
중화2동,74013 ,97083 ,42957 ,79558 ,103485 ,39360 ,95159 ,117164 ,61235 
묵1동,80612 ,96999 ,61152 ,90789 ,125195 ,62118 ,110823 ,125703 ,90121 
묵2동,66114 ,90136 ,37088 ,69524 ,78054 ,40522 ,90216 ,94987 ,83484 
망우본동,83530 ,111890 ,40500 ,64084 ,80079 ,46512 ,96372 ,101456 ,89081 
망우3동,55733 ,69143 ,31351 ,56507 ,66780 ,26897 ,60791 ,79907 ,38658 
신내1동,70036 ,82810 ,50875 ,83439 ,100616 ,62827 ,102439 ,119911 ,84766 
신내2동,117106 ,111366 ,120932 ,89845 ,133999 ,49224 ,132835 ,165200 ,106505 
성북구,97298 ,110578 ,75994 ,87452 ,105488 ,59220 ,92114 ,114651 ,63418 
성북동,107676 ,119698 ,86911 ,121420 ,133678 ,84648 ,117521 ,136805 ,83643 
삼선동,100596 ,117923 ,78853 ,87774 ,108223 ,53313 ,94671 ,122320 ,59204 
동선동,127707 ,157419 ,86614 ,123534 ,158931 ,76127 ,118720 ,163807 ,67853 
돈암1동,116348 ,109654 ,125720 ,77197 ,83577 ,73653 ,54390 ,60231 ,52001 
돈암2동,,,,,,,,,89291 
안암동,136963 ,139452 ,132194 ,79236 ,105593 ,55863 ,116770 ,156221 ,74132 
보문동,81872 ,93357 ,62923 ,75421 ,93921 ,53936 ,75273 ,97029 ,54967 
정릉1동,83691 ,89997 ,76124 ,68419 ,78144 ,47349 ,97266 ,104883 ,81653 
정릉2동,85078 ,159362 ,50793 ,80306 ,95985 ,63202 ,72638 ,93957 ,54516 
정릉3동,90645 ,87277 ,95360 ,75237 ,89100 ,41208 ,74723 ,82919 ,53320 
정릉4동,109624 ,122021 ,78634 ,95494 ,123175 ,50330 ,83071 ,97392 ,65445 
길음1동,126646 ,136638 ,116654 ,138337 ,157076 ,123971 ,120683 ,154559 ,97586 
길음2동,99833 ,146497 ,44684 ,112995 ,167971 ,54583 ,111748 ,115628 ,107867 
종암동,83346 ,88239 ,75910 ,84597 ,97690 ,61856 ,74087 ,95366 ,49344 
월곡1동,89867 ,112008 ,49538 ,74526 ,92364 ,43653 ,88246 ,100219 ,68156 
월곡2동,84563 ,97052 ,68951 ,73657 ,97146 ,41975 ,78774 ,101254 ,44742 
장위1동,54399 ,59070 ,42462 ,50764 ,57937 ,28047 ,51354 ,60697 ,31793 
장위2동,71392 ,83657 ,43635 ,69396 ,78088 ,46979 ,80101 ,93927 ,58161 
장위3동,95706 ,116440 ,61148 ,74580 ,96175 ,40988 ,88856 ,119575 ,45337 
석관동,86920 ,90548 ,73746 ,79437 ,92037 ,45295 ,76169 ,91153 ,52415 
강북구,86793 ,97756 ,66874 ,86500 ,94772 ,70279 ,86805 ,103225 ,58620 
삼양동,82852 ,99233 ,56791 ,73170 ,82587 ,55123 ,79012 ,79874 ,77719 
미아동,91315 ,102056 ,74637 ,84788 ,90833 ,72178 ,92246 ,122163 ,48317 
송중동,101418 ,116979 ,73322 ,99417 ,119878 ,61359 ,107704 ,127577 ,77011 
송천동,73976 ,93946 ,41645 ,81394 ,87131 ,67412 ,77691 ,92426 ,55503 
삼각산동,119308 ,141235 ,105354 ,130954 ,126021 ,137008 ,114235 ,139228 ,82994 
번1동,96796 ,99093 ,93551 ,81549 ,97625 ,55957 ,82542 ,94837 ,57022 
번2동,81307 ,105134 ,37624 ,84396 ,80947 ,90143 ,62823 ,67088 ,47661 
번3동,107200 ,101969 ,111777 ,73150 ,100392 ,49113 ,66163 ,85802 ,37987 
수유1동,75313 ,94195 ,38494 ,78151 ,96258 ,31372 ,80024 ,97548 ,41288 
수유2동,72077 ,78514 ,57242 ,95663 ,77366 ,137379 ,68043 ,85736 ,37079 
수유3동,100292 ,116328 ,64520 ,98307 ,106824 ,82220 ,103241 ,128827 ,64461 
우이동,68691 ,76616 ,34348 ,76179 ,83913 ,48809 ,70715 ,80624 ,39799 
인수동,54431 ,60199 ,38860 ,58028 ,66576 ,40638 ,61604 ,67588 ,48533 
도봉구,89007 ,103151 ,63330 ,81075 ,100935 ,46416 ,82208 ,100317 ,56146 
창1동,103803 ,100679 ,109011 ,73575 ,90213 ,53098 ,89577 ,110806 ,65579 
창2동,79427 ,99387 ,34518 ,69534 ,89858 ,41590 ,67137 ,88739 ,36217 
창3동,65262 ,69342 ,53532 ,86803 ,92028 ,66950 ,61060 ,73055 ,35071 
창4동,167543 ,218785 ,131896 ,104133 ,165312 ,64235 ,117636 ,188712 ,76175 
창5동,99354 ,136384 ,61002 ,100373 ,128163 ,55909 ,97597 ,141257 ,60485 
도봉1동,75131 ,82388 ,60097 ,86041 ,105544 ,27532 ,72353 ,84723 ,45139 
도봉2동,91849 ,109508 ,64895 ,72756 ,90561 ,50499 ,101024 ,105495 ,94747 
쌍문1동,,103592 ,,54364 ,60959 ,31942 ,63449 ,73540 ,40515 
쌍문2동,80318 ,107875 ,41486 ,78610 ,92455 ,46962 ,74372 ,95575 ,46331 
쌍문3동,72703 ,79202 ,57754 ,83335 ,108548 ,31648 ,85374 ,105429 ,50835 
쌍문4동,,,57969 ,76669 ,95068 ,58269 ,82631 ,119728 ,56134 
방학1동,95488 ,104668 ,64738 ,86519 ,109778 ,44539 ,81533 ,98528 ,43719 
방학2동,73829 ,90956 ,23672 ,72003 ,81573 ,29894 ,66628 ,81207 ,34419 
방학3동,69278 ,93208 ,42357 ,56661 ,79830 ,44395 ,84363 ,92323 ,77328 
노원구,106888 ,132841 ,74470 ,106488 ,136970 ,70031 ,98091 ,130222 ,64935 
월계1동,,117477 ,,111086 ,152772 ,53587 ,89363 ,119891 ,52050 
월계2동,97384 ,132462 ,38919 ,66216 ,72705 ,49347 ,88194 ,97222 ,75883 
월계3동,,265519 ,,112125 ,155292 ,76152 ,115811 ,181860 ,69577 
공릉1동,92557 ,114139 ,50292 ,90724 ,112986 ,56783 ,92000 ,114741 ,57271 
공릉2동,89466 ,116374 ,53588 ,118729 ,134548 ,96186 ,95604 ,118182 ,62543 
하계1동,121458 ,99506 ,137138 ,80923 ,104567 ,62147 ,74120 ,87336 ,64652 
하계2동,,,,143464 ,189839 ,81632 ,88477 ,93391 ,85876 
중계본동,113210 ,167169 ,84643 ,84313 ,100159 ,70013 ,95086 ,134758 ,68639 
중계1동,87894 ,114483 ,74599 ,139761 ,221446 ,78498 ,112038 ,181772 ,80951 
중계4동,116339 ,135637 ,87391 ,104713 ,130290 ,71976 ,104592 ,148717 ,52637 
중계2.3동,140363 ,232363 ,90824 ,125200 ,244997 ,95250 ,120303 ,173038 ,71269 
상계1동,97496 ,113008 ,58068 ,103968 ,136347 ,52335 ,80900 ,109577 ,54468 
상계2동,134051 ,170832 ,99936 ,137069 ,163324 ,86348 ,114975 ,147294 ,79024 
상계3.4동,62671 ,75056 ,41279 ,75705 ,86856 ,40859 ,70593 ,88189 ,39146 
상계5동,60693 ,82472 ,42669 ,63381 ,88974 ,37787 ,75331 ,95974 ,38924 
상계6.7동,135033 ,173690 ,90650 ,126797 ,172108 ,85484 ,120606 ,181024 ,82159 
상계8동,85367 ,125007 ,57052 ,,182386 ,,113642 ,167935 ,60857 
상계9동,97040 ,124765 ,55453 ,96319 ,184377 ,52289 ,105488 ,176345 ,57007 
상계10동,,,49327 ,96981 ,148789 ,62442 ,114355 ,226606 ,62238 
은평구,91850 ,104096 ,67726 ,94239 ,107123 ,72526 ,93576 ,111313 ,66005 
녹번동,90000 ,103680 ,68198 ,89618 ,106287 ,68099 ,92587 ,115473 ,60449 
불광1동,113613 ,137065 ,62801 ,95777 ,115758 ,64607 ,97979 ,123703 ,55962 
불광2동,91327 ,107318 ,58115 ,104233 ,121774 ,78303 ,111564 ,138642 ,67652 
갈현1동,102835 ,121583 ,68180 ,88360 ,108005 ,57665 ,94358 ,112356 ,67268 
갈현2동,84351 ,98501 ,43997 ,91913 ,108852 ,47653 ,84318 ,106209 ,52983 
구산동,77169 ,74058 ,89301 ,75527 ,103007 ,43884 ,81333 ,87742 ,70562 
대조동,96198 ,115740 ,59286 ,119379 ,127126 ,108110 ,102687 ,118452 ,81901 
응암1동,90927 ,95557 ,81112 ,99800 ,116429 ,65643 ,86517 ,114245 ,56745 
응암2동,113164 ,112397 ,114237 ,90782 ,87781 ,92925 ,97760 ,105170 ,83487 
응암3동,85279 ,99456 ,51254 ,85871 ,103424 ,48131 ,87759 ,107019 ,48079 
역촌동,83148 ,97984 ,58061 ,81046 ,91025 ,62069 ,84301 ,100446 ,53613 
신사1동,96481 ,88155 ,125621 ,80599 ,84368 ,73514 ,92058 ,105408 ,66928 
신사2동,71865 ,79536 ,65047 ,87702 ,82622 ,95784 ,70003 ,80372 ,47969 
증산동,70242 ,75610 ,59146 ,91602 ,102552 ,40502 ,83820 ,96095 ,57685 
수색동,79400 ,93747 ,50705 ,75090 ,92054 ,53885 ,53642 ,70878 ,28570 
진관동,123696 ,141107 ,98740 ,112192 ,116545 ,105998 ,119408 ,136204 ,99835 
서대문구,113214 ,130409 ,85024 ,104726 ,126994 ,72976 ,104298 ,126958 ,74020 
천연동,108122 ,126880 ,68730 ,97292 ,127557 ,59820 ,106860 ,127373 ,67618 
북아현동,111447 ,121181 ,94412 ,93751 ,104061 ,73132 ,127408 ,147795 ,94612 
충현동,125225 ,120569 ,133057 ,97129 ,110312 ,81052 ,94274 ,118299 ,64968 
신촌동,161372 ,224727 ,93737 ,137835 ,185528 ,90143 ,127515 ,176373 ,80473 
연희동,104470 ,112806 ,94639 ,93449 ,107496 ,77915 ,92429 ,93446 ,91363 
홍제1동,88872 ,117383 ,40403 ,128742 ,134221 ,102033 ,110784 ,147974 ,59395 
홍제3동,108112 ,118282 ,82685 ,96341 ,108688 ,37078 ,96144 ,110924 ,52165 
홍제2동,114183 ,178528 ,63626 ,125928 ,173398 ,49975 ,92230 ,112292 ,70094 
홍은1동,72955 ,84184 ,45817 ,64454 ,73979 ,55309 ,74121 ,84011 ,62355 
홍은2동,98633 ,114069 ,60637 ,81259 ,98888 ,57334 ,80649 ,98912 ,52804 
남가좌1동,105298 ,113347 ,92650 ,128713 ,152798 ,63025 ,114359 ,131261 ,86701 
남가좌2동,98754 ,108688 ,66243 ,91009 ,109731 ,56149 ,99531 ,116552 ,65035 
북가좌1동,,80992 ,,92433 ,98085 ,77363 ,99821 ,105407 ,88648 
북가좌2동,80675 ,83126 ,75962 ,73930 ,93057 ,43646 ,84854 ,101761 ,60113 
마포구,117993 ,140850 ,98002 ,121217 ,143138 ,103387 ,127206 ,155671 ,105779 
아현동,125560 ,168915 ,88528 ,116129 ,153369 ,90012 ,125513 ,174167 ,90581 
공덕동,83179 ,94021 ,70572 ,87409 ,95283 ,79000 ,112246 ,129557 ,98430 
도화동,138681 ,186060 ,87657 ,132966 ,156659 ,118966 ,144149 ,197830 ,104595 
용강동,90884 ,152912 ,63210 ,126287 ,175327 ,106386 ,117860 ,162952 ,101726 
대흥동,103315 ,124487 ,76679 ,106525 ,147738 ,71722 ,123275 ,164503 ,79985 
염리동,113776 ,122033 ,89831 ,115902 ,145494 ,62355 ,128183 ,149829 ,90978 
